order_id,order_date,region,sales_rep,customer_segment,product_category,product_name,unit_price,units_sold,discount_pct,revenue,cogs,daily_target
ORD-110288,2025-09-19,Southeast,Sofia Rodriguez,Consumer,Electronics,Portable Charger,530.0,5,0.05,2517.5,2069.45,1400.0
ORD-109681,2025-01-13,West,Ryan Mitchell,Corporate,Apparel,Winter Jacket,73.26,24,0.0,1758.24,858.16,1133.33
ORD-102901,2025-10-08,Southeast,Sofia Rodriguez,Small Business,Electronics,Tablet,202.1,5,0.05,959.97,874.52,1466.67
ORD-111256,2025-01-26,Southwest,Olivia Foster,Corporate,Electronics,Webcam,373.55,16,0.05,5677.96,5203.15,1133.33
ORD-108351,2025-01-22,Southwest,Carlos Mendez,Corporate,Sports,Dumbbells,108.45,10,0.05,1030.27,763.7,1133.33
ORD-108446,2025-08-05,Southeast,James O'Brien,Consumer,Sports,Dumbbells,162.19,2,0.0,324.38,222.1,1266.67
ORD-109495,2025-07-02,Southeast,Sofia Rodriguez,Corporate,Apparel,Baseball Cap,126.29,6,0.0,757.74,427.63,1333.33
ORD-111945,2025-11-02,Southwest,Carlos Mendez,Consumer,Office Supplies,Ergonomic Mouse,51.42,2,0.0,102.84,56.5,1733.33
ORD-101747,2025-04-28,Southeast,Sofia Rodriguez,Consumer,Sports,Yoga Mat,104.79,3,0.15,267.21,231.98,1266.67
ORD-103128,2025-12-26,Northeast,Marcus Thompson,Consumer,Apparel,  Polo Shirt  ,169.84,5,0.0,849.2,382.79,1933.33
ORD-108994,2025-05-22,Northeast,Marcus Thompson,Corporate,Electronics,Tablet,273.28,14,0.1,3443.33,3033.82,1333.33
ORD-105218,2025-04-06,Southeast,James O'Brien,Corporate,Electronics,Tablet,897.12,10,0.05,8522.64,6742.37,1266.67
ORD-100468,2025-04-26,Northeast,Priya Sharma,Corporate,Electronics,Smart Watch,62.91,6,0.0,377.46,321.26,1266.67
ORD-101786,2025-09-28,Southeast,Sofia Rodriguez,Consumer,Home & Garden,Air Purifier,415.06,5,0.0,2075.3,1211.11,1400.0
ORD-103693,2025-04-22,Midwest,David Kim,Corporate,Apparel,Polo Shirt,71.08,2,0.05,135.05,65.0,1266.67
ORD-103578,2025-10-22,West,Ryan Mitchell,Small Business,Home & Garden,Plant Pot Set,465.42,4,0.1,1675.51,1102.57,1466.67
ORD-104012,2025-10-19,Northeast,Priya Sharma,Consumer,Electronics,Portable Charger,894.65,2,0.05,1699.83,1453.78,1466.67
ORD-100673,2025-07-22,Midwest,Aisha Patel,Corporate,Sports,Foam Roller,282.22,13,0.2,2935.09,2642.86,1333.33
ORD-108991,2025-03-01,Southwest,Kwame Asante,Consumer,Sports,Dumbbells,97.28,5,0.0,486.4,361.17,1200.0
ORD-110277,2025-11-17,West,Chen Wei,Small Business,Office Supplies,Ergonomic Mouse,108.7,2,0.0,217.4,136.7,1733.33
ORD-100373,2025-09-26,Southeast,Sofia Rodriguez,Consumer,Office Supplies,Pen Set,144.18,3,0.0,432.54,301.74,1400.0
ORD-103798,2025-03-16,Midwest,David Kim,Small Business,Office Supplies,Pen Set,64.68,6,0.0,388.08,221.8,1200.0
ORD-100538,2025-07-28,Northeast,Marcus Thompson,Consumer,Apparel,Polo Shirt,174.43,3,0.05,497.13,250.73,1333.33
ORD-100927,2025-08-07,Midwest,Aisha Patel,Consumer,Apparel,Polo Shirt,62.9,5,0.1,283.05,163.92,1266.67
ORD-109737,2025-01-13,West,Chen Wei,Small Business,Office Supplies,Ergonomic Mouse,41.98,3,0.05,119.64,86.33,1133.33
ORD-101430,2025-07-19,Northeast,Priya Sharma,Consumer,Electronics,Webcam,568.7,2,0.05,1080.53,853.39,1333.33
ORD-108171,2025-11-12,West,Chen Wei,Small Business,Apparel,Polo Shirt,65.53,6,0.0,393.18,223.36,1733.33
ORD-102232,2025-12-06,Southeast,Sofia Rodriguez,Consumer,Home & Garden,Air Purifier,427.4,5,0.1,1923.3,1413.52,1933.33
ORD-104149,2025-11-26,Southwest,Olivia Foster,Consumer,Office Supplies,Notebook Set,62.84,5,0.0,314.2,219.18,1733.33
ORD-107732,2025-01-20,West,Ryan Mitchell,Consumer,Home & Garden,LED Desk Lamp,481.86,1,0.0,481.86,266.64,1133.33
ORD-105716,2025-03-16,,Priya Sharma,Small Business,Apparel,Sunglasses,143.14,3,0.05,407.95,214.02,1200.0
ORD-110517,2025-08-27,Southwest,Kwame Asante,Corporate,Office Supplies,Pen Set,67.59,3,0.05,192.63,109.94,1266.67
ORD-107411,2025-06-04,West,Ryan Mitchell,Consumer,Apparel,Joggers,59.44,2,0.0,118.88,48.66,1400.0
ORD-107889,2025-06-01,Northeast,Marcus Thompson,Corporate,Apparel,Baseball Cap,49.82,2,0.05,94.66,43.31,1400.0
ORD-111438,2025-12-08,Midwest,Aisha Patel,Corporate,Office Supplies,Pen Set,128.02,15,0.05,1824.28,1167.18,1933.33
ORD-100724,08/16/2025,West,Ryan Mitchell,Consumer,Apparel,Sunglasses,97.16,5,0.0,485.8,235.35,1266.67
ORD-108677,2025-10-15,Northeast,Marcus Thompson,Corporate,Office Supplies,Ergonomic Mouse,39.03,3,0.1,105.38,71.53,1466.67
ORD-107080,2025-05-28,Northeast,Priya Sharma,Consumer,Apparel,Sunglasses,87.81,4,0.0,351.24,210.76,1333.33
ORD-108388,2025-08-13,West,Chen Wei,Consumer,Sports,Foam Roller,119.87,4,0.0,479.48,312.05,1266.67
ORD-110696,2025-12-17,West,Ryan Mitchell,Consumer,Office Supplies,Whiteboard,81.89,5,0.0,409.45,184.52,1933.33
ORD-111933,2025-03-16,West,Ryan Mitchell,Consumer,Office Supplies,Notebook Set,106.88,1,0.0,106.88,56.55,1200.0
ORD-110648,2025-12-16,West,Chen Wei,Small Business,Office Supplies,Notebook Set,136.35,4,0.1,490.86,274.51,1933.33
ORD-102087,2025-09-15,West,Ryan Mitchell,Small Business,Apparel,Polo Shirt,161.42,8,0.05,1226.79,723.45,1400.0
ORD-102344,2025-12-06,Southwest,Olivia Foster,Small Business,Sports,Dumbbells,77.79,1,0.1,70.01,55.37,1933.33
ORD-110956,2025-06-22,Midwest,David Kim,Corporate,Apparel,Running Shoes,98.91,2,0.15,168.15,104.98,1400.0
ORD-100613,2025-02-04,West,Chen Wei,Corporate,Home & Garden,Plant Pot Set,462.56,14,0.0,6475.84,3820.54,1066.67
ORD-107191,2025-07-10,Southwest,Emily Nakamura,Corporate,Apparel,Polo Shirt,145.82,7,0.2,816.59,555.35,1333.33
ORD-109699,2025-11-01,West,Chen Wei,Corporate,Sports,Water Bottle,291.3,5,0.15,1238.02,915.27,1733.33
ORD-104649,2025-03-07,West,Ryan Mitchell,Consumer,Office Supplies,Whiteboard,54.06,3,0.05,154.07,86.76,1200.0
ORD-107313,2025-05-09,West,Chen Wei,Consumer,Apparel,  Polo Shirt  ,182.8,4,0.0,731.2,394.37,1333.33
ORD-105800,2025-05-05,Midwest,David Kim,Corporate,Apparel,Sunglasses,62.57,7,0.05,416.09,280.74,1333.33
ORD-109431,2025-03-17,Northeast,Marcus Thompson,Consumer,Office Supplies,Ergonomic Mouse,88.21,1,0.15,74.98,55.87,1200.0
ORD-104679,2025-09-11,Midwest,Aisha Patel,Consumer,Sports,Foam Roller,34.36,2,0.15,58.41,45.82,1400.0
ORD-105646,2025-01-09,West,Chen Wei,Corporate,Apparel,Winter Jacket,55.74,1,0.15,47.38,33.18,1133.33
ORD-105651,2025-09-23,Southeast,James O'Brien,Consumer,Home & Garden,Tool Kit,418.21,3,0.0,1254.63,863.04,1400.0
ORD-109966,2025-10-04,Northeast,Priya Sharma,Small Business,Sports,Jump Rope,100.65,4,0.0,402.6,250.54,1466.67
ORD-103033,2025-02-01,Southwest,Emily Nakamura,Corporate,Electronics,Tablet,682.01,7,0.15,4057.96,3812.93,1066.67
ORD-101413,2025-01-28,West,Chen Wei,Corporate,Electronics,Smart Watch,305.81,24,0.1,6605.5,5902.41,1133.33
ORD-105736,2025-09-26,Southeast,Sofia Rodriguez,Corporate,Office Supplies,Pen Set,73.75,17,0.15,1065.69,606.99,1400.0
ORD-102142,2025-10-27,Southeast,James O'Brien,Consumer,Apparel,Running Shoes,45.95,1,0.0,45.95,24.0,1466.67
ORD-109922,2025-09-08,Southwest,Emily Nakamura,Consumer,Office Supplies,Pen Set,84.8,4,0.0,339.2,165.93,1400.0
ORD-105170,2025-06-12,West,Chen Wei,Corporate,Electronics,Smart Watch,282.23,1,0.1,254.01,239.49,1400.0
ORD-106634,2025-09-02,,Priya Sharma,Consumer,Office Supplies,Planner,79.03,5,0.0,395.15,261.27,1400.0
ORD-107766,2025-05-12,Northeast,Priya Sharma,Consumer,Sports,Foam Roller,184.08,5,0.0,920.4,651.54,1333.33
ORD-105174,2025-06-22,Midwest,David Kim,Consumer,Office Supplies,Ergonomic Mouse,11.52,2,0.0,,10.51,1400.0
ORD-102626,2025-02-15,Southeast,James O'Brien,Consumer,Home & Garden,Air Purifier,38.23,2,0.15,64.99,56.34,1066.67
ORD-109985,2025-08-07,Midwest,Aisha Patel,Consumer,Office Supplies,Notebook Set,96.56,2,0.0,193.12,127.23,1266.67
ORD-102564,2025-06-17,Midwest,David Kim,Small Business,Apparel,Running Shoes,165.38,10,0.1,1488.42,1062.72,1400.0
ORD-109919,2025-06-14,Southeast,James O'Brien,Consumer,Office Supplies,Whiteboard,15.62,3,0.05,44.52,27.53,1400.0
ORD-107625,2025-09-15,Northeast,Priya Sharma,Corporate,Home & Garden,Tool Kit,98.5,11,0.1,975.15,628.01,1400.0
ORD-111069,2025-08-18,Southeast,Sofia Rodriguez,Small Business,Electronics,Smart Watch,851.98,1,0.0,851.98,709.62,1266.67
ORD-103914,2025-12-12,Midwest,Aisha Patel,Corporate,Sports,Resistance Bands,143.1,11,0.1,1416.69,1062.63,1933.33
ORD-111384,2025-05-05,Southeast,Sofia Rodriguez,Small Business,Office Supplies,Notebook Set,59.22,3,0.05,168.78,95.93,1333.33
ORD-107276,2025-05-09,Southeast,James O'Brien,Small Business,Electronics,Tablet,252.64,4,0.1,909.5,924.85,1333.33
ORD-109615,2025-11-09,Southwest,Emily Nakamura,Consumer,Sports,Yoga Mat,86.13,1,0.1,77.52,60.2,1733.33
ORD-100149,2025-04-24,Northeast,Marcus Thompson,Corporate,Home & Garden,Tool Kit,478.14,6,0.2,2295.07,1678.96,1266.67
